Tweet,Sentiment,Sentiment Score,Original Label
6th This cunt Some poor woman carried a bairn for 9 months for it to pop out an end up doin this shite…,Negative,-0.743,Hate
@user This isn't a 'not all men' bullshit you talking about. This is clearly a 'you mother fuckers' deal. Y'all here is not appropriate.,Positive,0.2197,Non-hate
Girl. Why these people so PRESSED?! Callin you all kinda ho’s and skanks being LOUD AND WRONG!!,Negative,-0.6917,Non-hate
found out I’m a cunt & slut tonight so there’s that lmao,Negative,-0.4284,Non-hate
AG Jeff Sessions Announces Lawsuits Against California Over Interference With ImmigrationÂ Enforcement‘¦,Negative,-0.1531,Non-hate
"To the guys that loved me,made a relationship with, cheated on me, made false promises. Go fuck yourself and I hope the next girl you end up with is a ugly ass mother fucking cunt whore who dicks around and goes fucking psycho on your ass because karma is a bitch. :)",Negative,-0.9557,Hate
Interesting use of SC experiment on social issue by well-known scholars - results are not good news from the humanistic perspective though: From welcome culture to welcome limits? Uncovering preference changes over time for sheltering refugees,Positive,0.7426,Non-hate
If you've never had shit dick you probably have a small dick,Positive,0.3239,Non-hate
@user You are a dumb cunt twit! When people start dying you should be tried for murder you asshole,Negative,-0.9098,Non-hate
"No Christians among 1,112 Syrian refugees resettled in #UK",Negative,-0.296,Non-hate
@user Couldn't agree more! Thanks for supporting our cause. Check out our account and DM for info about upcoming events #MaleDomination,Negative,-0.217,Non-hate
"âš¡ï¸ ""Big leak hits the Leave campaign?""what rubbish immigration will be the thing that does brexit stupid storyhttps://t.co/DDa1kqHgQ8",Negative,-0.7184,Hate
Men are fighting for their rights. Subscribe with RSS. #EqualParenting #bb16,Negative,-0.3612,Non-hate
This bitch is stupid af. Forcing me to wake up my residents. Like wtf not like I was sitting not doing shit I was doing shit. Stupid ass.,Negative,-0.9595,Hate
"Undocumented my a$$, ILLEGAL!! This child is 11 years old.",Negative,-0.7111,Non-hate
